zh_CN,Metdata,Label,pt_BR,da,th,es_MX,no,pl,vi,pt_PT,fr_CA,de,es,fr,it,ko,package,Translated,Configuration
"编辑","CustomLabel.CEC_Button_Edit","Edit","Editar","Ændre","แก้ไข","Editar","Endre","Edytuj","Cập nhật","Editar","Modifier","Ändern","Editar","Modifier","Modifica","편집","CustomLabel$CEC_Button_Edit","Will be Transalted","No"
"新的","CustomLabel.CEC_Button_New","New","Novo","Ny","ใหม่","Nuevo","Ny","Nowy","Mới","Novo","Ajouter","Neu","Nuevo","Nouveau","Nuovo","신규","CustomLabel$CEC_Button_New","Will be Transalted","No"
"下一个","CustomLabel.CEC_Button_Next","Next","Próximo","Næste","ต่อไป","Siguiente","Neste","Następny","Kế tiếp","Próximo","Suivant","Weiter","Siguiente","Suivant","Avanti","다음","CustomLabel$CEC_Button_Next","Will be Transalted","No"
"之前的","CustomLabel.CEC_Button_Previous","Previous","Prévia","Tidligere","ก่อนหน้า","Anterior","Forrige","Poprzednia","Trước","Anterior","Précédent","Zurück","Anterior","Précédent","Indietro","이전","CustomLabel$CEC_Button_Previous","Will be Transalted","No"
"保存","CustomLabel.CEC_Button_Save","Save","Salvar","Gem","บันทึก","Guardar","Lagre","Zapisz","Lưu","Guardar","Enregistrer","Speichern","Guardar","Enregistrer","Salva","저장","CustomLabel$CEC_Button_Save","Will be Transalted","No"
"提价","CustomLabel.CEC_Button_Submit","Submit","Submeter","Indsend","ส่ง","Enviar","Send inn","Zatwierdź","Gởi đi","Submeter","Soumettre","Senden","Enviar","Soumettre","Inoltra","제출","CustomLabel$CEC_Button_Submit","Will be Transalted","No"
"案件","CustomLabel.CEC_CASES","CASES","CASOS","SAGER","เคสการติดต่อ","CASOS","SAKER","SPRAWY","Cases","CASOS","REQUÊTES","VORGÄNGE","CASOS","REQUÊTES","CASI","케이스","CustomLabel$CEC_CASES","Will be Transalted","No"
"权限不足您没有执行所请求的操作所需的访问级别。如果需要访问，请联系记录的所有者或您的管理员。有关更多信息，请参阅权限不足错误。","CustomLabel.CEC_CCR_Insufficient_Msg","Insufficient Privileges\nYou do not have the level of access necessary to perform the operation you requested. Please contact the owner of the record or your administrator if access is necessary. For more information, see Insufficient Privileges Errors.","Privilégios insuficientes Você não tem o nível de acesso necessário para executar a operação solicitada. Entre em contato com o proprietário do registro ou com o seu administrador, se o acesso for necessário. Para obter mais informações, consulte Erros de privilégios insuficientes.","","สิทธิพิเศษไม่เพียงพอ\nคุณไม่มีระดับการเข้าถึงที่จำเป็นเพื่อดำเนินการตามที่คุณขอ โปรดติดต่อเจ้าของบันทึกหรือผู้ดูแลระบบของคุณหากจำเป็นต้องเข้าถึง สำหรับข้อมูลเพิ่มเติมโปรดดูที่ข้อผิดพลาด Privileges ไม่เพียงพอ","Privilegios insuficientes No tiene el nivel de acceso necesario para realizar la operación que solicitó. Por favor, póngase en contacto con el propietario del registro o su administrador si es necesario. Para obtener más información, vea Errores de privilegios insuficientes.","","Niewystarczające uprawnienia\nNie masz poziomu dostępu niezbędnego do wykonania żądanej operacji. Skontaktuj się z właścicielem rekordu lub administratorem, jeśli jest to konieczne. Aby uzyskać więcej informacji, zobacz Błędy niewystarczających uprawnień","","Privilégios insuficientes Você não tem o nível de acesso necessário para executar a operação solicitada. Entre em contato com o proprietário do registro ou com o seu administrador, se o acesso for necessário. Para obter mais informações, consulte Erros de privilégios insuficientes.","","Keine ausreichenden Berechtigungen\nSie verfügen nicht über die erforderliche Zugriffsebene, um die angeforderte Operation auszuführen. Bitte kontaktieren Sie den Besitzer des Datensatzes oder Ihren Administrator, wenn ein Zugriff erforderlich ist. Weitere Informationen finden Sie unter Fehler bei unzureichenden Berechtigungen","Privilegios insuficientes No tiene el nivel de acceso necesario para realizar la operación que solicitó. Por favor, póngase en contacto con el propietario del registro o su administrador si es necesario. Para obtener más información, vea Errores de privilegios insuficientes.","Privilèges insuffisants Vous n'avez pas le niveau d'accès nécessaire pour effectuer l'opération demandée. Veuillez contacter le propriétaire de l'enregistrement ou votre administrateur si l'accès est nécessaire. Pour plus d'informations, voir Erreurs de privilèges insuffisantes.","","불충분 한 권한\n요청한 작업을 수행하는 데 필요한 액세스 수준이 없습니다. 액세스가 필요한 경우 기록 소유자 또는 관리자에게 문의하십시오. 자세한 내용은 권한 부족 오류를 참조하십시오.","CustomLabel$CEC_CCR_Insufficient_Msg","Will be Transalted","No"
"确认显示在收件人、抄送、秘密抄送栏位里的CEC邮件地址是正确有效的。请删除以下邮件地址，然后继续下一步。","CustomLabel.CEC_CEC_Org_Wide_Address_Validation","Valid CEC email addresses are present in the To, CC and/or BCC fields. Please remove the following email addresses in order to continue.","Os endereços de e-mail válidos do CEC estão presentes nos campos Para, CC e / ou CCO. Por favor, remova os seguintes endereços de e-mail para continuar.","Gyldige CEC-emailadresser er til stede i feltet Til, CC og / eller BCC. Fjern venligst følgende e-mailadresser for at fortsætte.","อีเมลของ CEC ที่ถูกต้องได้ถูกระบุไว้ในช่อง To, CC และ/หรือ BCC เรียบร้อยแล้ว กรุณาลบอีเมลที่ไม่เกี่ยวข้องต่อไปนี้เพื่อดำเนินการต่อ (invalid email address)","","Gyldige CEC-e-postadresser er tilstede i To, CC og / eller BCC-feltene. Vennligst fjern følgende e-postadresser for å fortsette.","Adresy email CEC są wpisane w polach Do, DW i/lub UDW. Usuń je by kontynuować.","","Os endereços de e-mail válidos do CEC estão presentes nos campos:  Para, CC e / ou BCC. Por favor, remova os seguintes endereços de e-mail para continuar.","","Gültige CEC E-Mail Adressen werden in An, CC und / oder BCC Felder eingepflegt. Bitte entferne die folgende E-Mail Adressen, um fortzufahren.","Direcciones de correo electrónico de CEC válidas están presentes en los campos Para, CC y / o BCC. Por favor, elimine las siguientes direcciones de correo electrónico para continuar.","Des adresses de courriel CEC valides se trouvent dans les champs À, Cc et Cci. Veuillez retirer les adresses de courriel suivantes afin de pouvoir poursuivre.","Sono presenti indirizzi email CEC nei campi A, Cc e/o Ccn. Rimuovili per procedere.","유효한 CEC 메일주소는 받는사람, 참조 혹은 숨은참고에 표시되어있습니다 \r\n계속 진행하기위해서는 아래의 메일주소를 삭제하시기 바랍니다","CustomLabel$CEC_CEC_Org_Wide_Address_Validation","Will be Transalted","No"
"联天记录","CustomLabel.CEC_CHAT_TRANSCRIPTS","CHAT TRANSCRIPTS","TRANCRIÇÃO DO CHAT","CHAT TRANSKRIPT","บันทึกการสนทนา","TRANSCRIPCIONES DEL CHAT","CHAT TRANSKRIPT","TRANSKRYPCJE Z CZATÓW","Văn bản Chat","TRANCRIÇÃO DO CHAT","TRANSCRIPTIONS DES CLAVARDAGES","CHAT PROTOKOLL","TRANSCRIPCIONES DEL CHAT","TRANSCRIPTIONS DE CHAT","TRASCRIZIONI CHAT","채팅 기록","CustomLabel$CEC_CHAT_TRANSCRIPTS","Will be Transalted","No"
"选择","CustomLabel.CEC_COMBOBOX_PLACEHOLDER","-Select-","Selecionar","Vælg","เลือก","-Selecciona-","Velg","Wybierz","-Chọn-","Selecionar","Sélectionner","Auswählen","-Seleccionar-","Sélectionner","-Seleziona-","선택","CustomLabel$CEC_COMBOBOX_PLACEHOLDER","Will be Transalted","No"
"“需要联系”选项说明客户需要得到答复","CustomLabel.CEC_CallBackRequiredHelpText","The Contact Required option indicates that the customer requires a response for this case.","a opção de Contato solicitado indica que o cliente requer uma resposta para esse caso.","Kontakt kræves muligheden indikerer at kunden kræver et svar på sagen","ตัวเลือกต้องมีการติดต่อ ระบุว่าลูกค้าจำเป็นต้องการิอต่อกลับสำหรับกรณีนี้","La opción Contacto Requerido indica que el cliente requiere una respuesta para este caso.","Kontakt påkrevd valget indikerer at kunden krever en respons i denne saken","Opcja Wymagany kontakt wskazuje, że klient chce uzyskać informację zwrotną w tej sprawie.","Liên hệ Bắt buộc cho biết: khách hàng yêu cầu phản hồi cho trường hợp này.","A opção Contacto Solicitado indica que o cliente requer uma resposta a este caso.","L'option Contact requis indique que le client exige une réponse pour cette requête.","Die Option Kontakt erforderlich gibt an, dass der Kunde für diesen Vorgang eine Antwort benötigt.","La opción Contacto Requerido indica que el cliente requiere una respuesta para este caso.","L'option Contact requis indique que le client exige une réponse pour cette requête.","L'opzione Contatto richiesto indica che il cliente richiede un contatto",""연락 필요" 옵션은 고객에게 이 케이스에 대한 응답이 필요함을 나타냅니다.","CustomLabel$CEC_CallBackRequiredHelpText","Will be Transalted","No"
"取消","CustomLabel.CEC_Cancel","Cancel","Cancelar","Anuller","ยกเลิก","Cancelar","Avbryt","Anuluj","Hủy","Cancelar","Annuler","Abbrechen","Cancela","Annuler","Cancella","취소","CustomLabel$CEC_Cancel","Will be Transalted","No"
"案件时间记录","CustomLabel.CEC_Cas_Time_stamps","CASE TIMESTAMPS","HORÁRIO DO CASO","Tidsstemple for sager","บันทึกเวลาของเคส","HORARIOS DEL CASO","SAK TIDSSTEMPEL","ZDARZENIA NA OSI CZASU","Các mốc thời gian của Case","HORÁRIOS DO CASO","HORODATAGE DE LA REQUÊTE","VORGANG ZEITSTEMPEL","HORARIOS DEL CASO","HORODATAGE DE LA REQUÊTE","ORARI DEL CASO","시간별 기록","CustomLabel$CEC_Cas_Time_stamps","Will be Transalted","No"
"案件","CustomLabel.CEC_Case","Case","Caso","Sag","เคสการติดต่อ","CASO","SAK","Numer sprawy","Trường hợp","CASO","REQUÊTE","VORGANG","CASO","REQUÊTE","CASO","케이스","CustomLabel$CEC_Case","Will be Transalted","No"
